id,legacy_code,name,class,role,strength,severity,patterns,remediation_type,raises_meta_flags,suggested_commands,trace_field,may_directly_set_band,may_raise_flags,may_trigger_interventions,source
MO_C1_P4,C1-P4,Circular reasoning,CIRCULAR_REASONING,sufficient,high,low,"[""\\bomdat\\b\\s+(.{1,60})\\b.*\\b\\1\\b""]",assumption_probe,"[""EPISTEMIC_RISK""]","[""/devil"", ""/falsificatie"", ""/evidence_chain""]",micro_observations,False,True,True,micro_obs_1_0
MO_C2_S1,C2-S1,Absolute quantifier,SCOPE_GENERALIZATION,sufficient,high,low,"[""\\baltijd\\b"", ""\\bnooit\\b"", ""\\biedereen\\b"", ""\\balles\\b""]",boundary_check,"[""EPISTEMIC_RISK""]","[""/feit_mening"", ""/bronweging"", ""/contextualise""]",micro_observations,False,True,True,micro_obs_1_0
MO_C2_I1,C2-I1,Affirming the consequent form,INVALID_INFERENCE,sufficient,high,medium,"[""\\bals\\b[\\s\\S]{0,120}\\bdan\\b[\\s\\S]{0,200}\\bdus\\b[\\s\\S]{0,120}\\b""]",conceptual_reframe,"[""EPISTEMIC_RISK""]","[""/misvatting"", ""/chain"", ""/stappenplan""]",micro_observations,False,True,True,micro_obs_1_0
MO_C1_P3,C1-P3,Contradiction marker,PROCESS_INCOHERENCE,contributive,medium,low,"[""\\bmaar\\b"", ""\\btoch\\b"", ""\\benerzijds\\b"", ""\\banderzijds\\b""]",step_repair,"[""DATA_QUALITY""]","[""/chain"", ""/proces_eval"", ""/vertraging""]",micro_observations,False,True,True,micro_obs_1_0
MO_C4_E2,C4-E2,Ambiguity blocker (top2 gap),N/A,blocker,blocker,low,[],ask_clarifying_question,"[""DATA_QUALITY""]","[""/checkin"", ""/fase_check"", ""/leervraag""]",micro_observations,False,True,True,micro_obs_1_0
MO_C4_E4,C4-E4,Policy blocker (exam_like/strict_eu),N/A,blocker,blocker,low,[],observe_only,"[""SYSTEM_BLOCKER""]",[],micro_observations,False,True,True,micro_obs_1_0
