source_id,file_name,sha256,bytes,role
gamma_model,EAI_GAMMA_Model.md,153f689b485571403df2df77a862017ba214444ea9bed81022b7ada756855dce,163643,primary_model_source_for_rubrics_bands_formulas_constraints_scientific_references
ssot_16_2,ssot_16.2.json,1e4220c0a7532a1702191a5b6ea5d03c3b195284f3149a4bda75b91d1c7dd75e,392203,governance_trace_flags_interventions_adapter_policy_context_commands
rubrics_15_9,EAI_Rubrics_15_9_master_full.json,d093293961cd0d5a982ec4869e9b8dc8a575d8bea2da0c3309f5320a3838b35e,144652,legacy_scoring_weights_lambdas_filters_validation
rubrics_13_0,EAI_Rubrics_13_0_0_master_full.json,0aefe227edc0cc5289ee76102da37c6db7a11b0d0b5ac837a729216b85944477,152640,legacy_context_srl_trace_protocol_fallback
micro_obs_1_0,rubrics_v1_0_0.json,f58f4fb1dbf4e487c91129834026524983462b164a20c3fe3503aeace892df4b,1959,micro_observation_detection_layer
rubrics_12_3,EAI_Rubrics_12_3_0_master_full.json,ebff3ca59f1c1699fb0c102fa6742aa0079ff98436813d1821a23d0b7b8c022d,146439,archive_and_compatibility_reference
rubrics_12_2,EAI_Rubrics_12_2_0_master_full.json,a1c04811d08fb402da4d8cdb9df7fc5dd8ca1eee8070c131a53ef42c224b46c1,142662,archive_and_compatibility_reference
classroom_zip_6,EAI-CLASSROOM-main (6).zip,f429704a6791217cae3125ecf3f013558e791daf89b186301bbf76afd5c22ec0,195490,legacy_hardcoded_workform_prompt_reference
classroom_zip_7,eai-classroom-main (7).zip,933581d91c455116ca495e8bb23b557ff1cd25c8e245209985db0114b5586c89,681443,runtime_code_and_formative_workform_catalog_reference
